prodcode	dmdcode	gemscriptcode	productname	drugsubstance	strength	formulation	route	bnfcode	bnfchapter	Group
4182	701111000001105	50110020	Lasix 5mg/5ml oral solution (Borg Medicare)	Furosemide	1mg/1ml	Oral solution	Oral	02020200	Loop Diuretics	Diuretic
4211	107945001000027104	62143020	Furosemide with amiloride 20mg+2.5mg Tablet	Furosemide/Amiloride Hydrochloride	20mg+2.5mg	Tablet	Oral	02020200/02020400	Loop Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
4265	157565001000027104	68965020	Celectol 200mg Tablet (Pantheon Healthcare Ltd)	Celiprolol hydrochloride	200mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
4332	317965001	64663020	Metolazone 5mg tablets	Metolazone	5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
4334	115735001000027104	63211020	Metolazone 500microgram low dose Tablet	Metolazone	500microgram	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
4406	48465001000027104	54101020	Decaserpyl plus Tablet (Roussel Laboratories Ltd)	Benzthiazide/methoserpidine		Tablet	Oral	02050200	Centrally Acting Antihypertensive Drugs	Diuretic
4410	318635007	83758020	Carvedilol 6.25mg tablets	Carvedilol	6.25mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
4429	3444411000001107	51994020	Trasidrex modified-release tablets (Mercury Pharma Group Ltd)	Oxprenolol hydrochloride/Cyclopenthiazide	160mg + 250microgram	Modified-release tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
4449	907711000001109	69313020	Cardura 1mg tablets (Pfizer Ltd)	Doxazosin mesilate	1mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
4540	255911000001105	82246020	Cozaar-Comp 50mg/12.5mg tablets (Merck Sharp & Dohme Ltd)	Losartan potassium/Hydrochlorothiazide	50mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
4542	35903311000001104	68847020	Atenolol 50mg / Nifedipine 20mg modified-release capsules	Atenolol/Nifedipine	50mg + 20mg	Modified-release capsule	Oral	02040000/02060200	Beta-adrenoceptor Blocking Drugs/Calcium-channel Blockers	B-blocker
4588	34545001000027108	52291020	Visken 5mg Tablet (Sovereign Medical Ltd)	Pindolol	5mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
4605	74311000001101	54433020	Moducren tablets (Merck Sharp & Dohme Ltd)	Timolol maleate/Hydrochlorothiazide/Amiloride hydrochloride	10mg + 25mg + 2.5mg	Tablet	Oral	00000000	Unknown	B-blocker
4637	318779003	68055020	Terazosin 2mg tablets	Terazosin hydrochloride	2mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
4661	318102003	66726020	Spironolactone 50mg / Furosemide 20mg capsules	Spironolactone/Furosemide	50mg + 20mg	Capsule	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
4694	35915811000001104	72784020	Terazosin 2mg tablets and Terazosin 1mg tablets			Not applicable	Route of administration not applicable	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
4771	483911000001101	68375020	Emcor LS 5mg tablets (Merck Serono Ltd)	Bisoprolol fumarate	5mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
4796	333111000001104	54256020	Inderetic 80mg/2.5mg capsules (AstraZeneca UK Ltd)	Propranolol hydrochloride/Bendroflumethiazide	80mg + 2.5mg	Capsule	Oral	00000000	Unknown	B-blocker
4802	41811000001109	69314020	Cardura 2mg tablets (Pfizer Ltd)	Doxazosin mesilate	2mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
4873	818511000001106	57115020	Fru-Co 5mg/40mg tablets (Teva UK Ltd)	Amiloride hydrochloride/Furosemide	5mg + 40mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
4875	318777001	68058020	Terazosin 10mg tablets	Terazosin hydrochloride	10mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
4960	921811000001103	57448020	Aldactone 50mg tablets (Pfizer Ltd)	Spironolactone	50mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
4983	156785001000027104	68844020	Atenolol with amiloride and hydrochlorothiazide capsules	Atenolol/Amiloride Hydrochloride/Hydrochlorothiazide		Capsules	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
5112	317954006	63541020	Indapamide 1.5mg modified-release tablets	Indapamide	1.5mg	Modified-release tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
5183	150911000001104	49882020	Hypovase 2mg tablets (Pfizer Ltd)	Prazosin hydrochloride	2mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
5189	318849001	51068020	Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets	Enalapril maleate/Hydrochlorothiazide	20mg + 12.5mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Diuretic
5220	107955001000027104	62144020	Furosemide with amiloride 80mg+10mg Tablet	Furosemide/Amiloride Hydrochloride	80mg+10mg	Tablet	Oral	02020200/02020400	Loop Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
5249	36564411000001104	75245020	Furosemide 50mg/5ml oral solution sugar free	Furosemide	10mg/1ml	Oral solution	Oral	02020200	Loop Diuretics	Diuretic
5284	318512002	65802020	Pindolol 5mg tablets	Pindolol	5mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
5330	3886211000001102	48767020	Corgaretic 40mg tablets (Sanofi-Synthelabo Ltd)	Nadolol/Bendroflumethiazide	40mg + 5mg	Tablet	Oral	00000000	Unknown	B-blocker
5337	28555001000027108	51573020	Hytrin bph 5mg Tablet (Amdipharm Plc)	Terazosin hydrochloride	5mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
5416	410896007	57075020	Co-triamterzide 50mg/25mg tablets	Hydrochlorothiazide/Triamterene	25mg + 50mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
5478	35932311000001100	59376020	Propranolol 10mg/5ml oral solution sugar free	Propranolol hydrochloride	2mg/1ml	Oral solution	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
5496	135921004	84706020	Doxazosin 8mg modified-release tablets	Doxazosin mesilate	8mg	Modified-release tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
5618	873411000001109	85763020	Cardura XL 8mg tablets (Pfizer Ltd)	Doxazosin mesilate	8mg	Modified-release tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
5713	318607008	83180020	Bisoprolol 7.5mg tablets	Bisoprolol fumarate	7.5mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
5721	377211005	73883020	Co-tenidone 100mg/25mg tablets	Atenolol/Chlortalidone	100mg + 25mg	Tablet	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
5727	318096005	73241020	Amiloride 2.5mg / Cyclopenthiazide 250microgram tablets	Amiloride hydrochloride/Cyclopenthiazide	2.5mg + 250microgram	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
5728	318007007	75244020	Furosemide 40mg/5ml oral solution sugar free	Furosemide	8mg/1ml	Oral solution	Gastroenteral/Oral	02020200	Loop Diuretics	Diuretic
5815	318740009	63556020	Indoramin 25mg tablets	Indoramin hydrochloride	25mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
5858	900511000001103	54829020	Beta-Cardone 40mg tablets (Focus Pharmaceuticals Ltd)	Sotalol hydrochloride	40mg	Tablet	Oral	02030200/02040000	Drugs For Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
5868	602811000001100	83764020	Frusol 20mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)	Furosemide	4mg/1ml	Oral solution	Oral	02020200	Loop Diuretics	Diuretic
5968	329611000001106	68354020	Monocor 10mg tablets (Wyeth Pharmaceuticals)	Bisoprolol fumarate	10mg	Tablet	Oral	02040000/02050000/02100100	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure/Management Of Myocardial Infarction	B-blocker
6066	35903211000001108	67919020	Atenolol 25mg/5ml oral solution sugar free	Atenolol	5mg/1ml	Oral solution	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
6118	318006003	59421020	Furosemide 20mg/5ml oral solution sugar free	Furosemide	4mg/1ml	Oral solution	Oral	02020200	Loop Diuretics	Diuretic
6359	27675001000027104	51463020	Zestoretic 10- 10mg+12.5mg Tablet (AstraZeneca UK Ltd)	Lisinopril/Hydrochlorothiazide	10mg + 12.5mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Diuretic
6437	318959004	79786020	Losartan 50mg / Hydrochlorothiazide 12.5mg tablets	Losartan potassium/Hydrochlorothiazide	50mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
6468	318880006	50822020	Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets	Lisinopril/Hydrochlorothiazide	20mg + 12.5mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Diuretic
6751	104011000001101	54830020	Beta-Cardone 80mg tablets (Focus Pharmaceuticals Ltd)	Sotalol hydrochloride	80mg	Tablet	Oral	02030200/02040000	Drugs For Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
6786	318884002	50823020	Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets	Lisinopril/Hydrochlorothiazide	10mg + 12.5mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Diuretic
6794	3437611000001100	83957020	Perindopril erbumine 4mg / Indapamide 1.25mg tablets	Perindopril erbumine/Indapamide	4mg + 1.25mg	Tablet	Oral	02020100/02050500/02050501	Thiazides And Related Diuretics/Drugs Affecting The Renin-angiotensin System/Angiotensin-converting Enzyme Inhibitors	Diuretic
6815	196545001000027104	75280020	Spironolactone 50mg/5ml oral suspension sugar free	Spironolactone	50mg/5ml	Suspension Sugar-free	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
6816	408039005	86950020	Chlorothiazide 250mg/5ml oral suspension	Chlorothiazide	50mg/1ml	Oral suspension	Oral	02020100	Thiazides And Related Diuretics	Diuretic
6877	7668611000001104	87998020	Co-Diovan 160mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd)	Valsartan/Hydrochlorothiazide	160mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
7049	318632005	72237020	Carvedilol 25mg tablets	Carvedilol	25mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
7066	318546001	68976020	Metoprolol 100mg / Hydrochlorothiazide 12.5mg tablets	Metoprolol tartrate/Hydrochlorothiazide	100mg + 12.5mg	Tablet	Oral	00000000	Unknown	B-blocker
7091	318606004	83179020	Bisoprolol 3.75mg tablets	Bisoprolol fumarate	3.75mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
7136	714911000001108	49174020	Dytide capsules (Mercury Pharma Group Ltd)	Triamterene/Benzthiazide	50mg + 25mg	Capsule	Oral	00000000	Unknown	Diuretic
7351	8306811000001101	90559020	Bendroflumethiazide 2.5mg/5ml oral suspension	Bendroflumethiazide	500microgram/1ml	Oral suspension	Oral	02020100/09050102	Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria	Diuretic
7441	3645811000001107	50105020	Lasilactone 20mg/50mg capsules (Sanofi)	Spironolactone/Furosemide	50mg + 20mg	Capsule	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
7474	54815001000027104	54884020	Trasicor 20mg Tablet (Novartis Pharmaceuticals UK Ltd)	Oxprenolol hydrochloride	20mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
7528	726011000001109	80460020	Nebilet 5mg tablets (A. Menarini Farmaceutica Internazionale SRL)	Nebivolol hydrochloride	5mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
7543	237011000001100	56162020	Kalten capsules (M & A Pharmachem Ltd)	Atenolol/Amiloride hydrochloride/Hydrochlorothiazide	50mg + 2.5mg + 25mg	Capsule	Oral	02040100	Beta-adrenoceptor Blocking Drugs With Diuretic	B-blocker
7547	4857711000001103	83686020	Doxadura 2mg tablets (Discovery Pharmaceuticals)	Doxazosin mesilate	2mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
7549	4857511000001108	58779020	Doxadura 1mg tablets (Discovery Pharmaceuticals)	Doxazosin mesilate	1mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
7553	8304811000001108	90711020	Bisoprolol 5mg/5ml oral suspension	Bisoprolol fumarate	1mg/1ml	Oral suspension	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
7582	3704811000001105	50100020	Lasikal modified-release tablets (Borg Medicare)	Potassium chloride/Furosemide	750mg + 20mg	Modified-release tablet	Oral	00000000	Unknown	Diuretic
7606	79411000001107	50116020	Lasix 40mg tablets (Sanofi)	Furosemide	40mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
7618	317970008	65442020	Xipamide 20mg tablets	Xipamide	20mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
7620	318414004	59926020	Acebutolol 400mg tablets	Acebutolol hydrochloride	400mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
7641	321811000001109	58678020	Natrilix 2.5mg tablets (Servier Laboratories Ltd)	Indapamide hemihydrate	2.5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
7698	120911000001103	48202020	Aprinox 5mg tablets (Amdipharm Plc)	Bendroflumethiazide	5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
7734	4540011000001102	49059020	Diumide-K Continus tablets (Teofarma)	Potassium chloride/Furosemide	600mg + 40mg	Modified-release tablet	Oral	02020800	Diuretics With Potassium	Diuretic
7740	318098006	67210020	Triamterene 50mg / Benzthiazide 25mg capsules	Triamterene/Benzthiazide	50mg + 25mg	Capsule	Oral	00000000	Unknown	Diuretic
7759	318745004	65687020	Phenoxybenzamine 10mg capsules	Phenoxybenzamine hydrochloride	10mg	Capsule	Oral	02050400	Alpha-adrenoceptor Blocking Drugs	Alpha blocker
7799	701611000001102	50115020	Lasix 20mg tablets (Borg Medicare)	Furosemide	20mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
7852	51195001000027112	54409020	Blocadren 10mg Tablet (Merck Sharp & Dohme Ltd)	Timolol maleate	10mg	Tablet	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
7853	318534000	69193020	Timolol 10mg tablets	Timolol maleate	10mg	Tablet	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
7952	421611000001100	57449020	Aldactone 100mg tablets (Pfizer Ltd)	Spironolactone	100mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
7961	141515001000027104	66717020	Spironolactone 50mg with hydroflumethiazide 50mg tablet	Spironolactone/Hydroflumethiazide	50mg+50mg	Tablets	Oral	02020100/02020400	Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
7974	318622003	68838020	Celiprolol 400mg tablets	Celiprolol hydrochloride	400mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
7991	85005001000027104	58741020	Spiroctan 100mg Capsule (Roche Products Ltd)	Spironolactone	100mg	Capsule	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
8023	298111000001105	52703020	Sectral 400mg tablets (Sanofi)	Acebutolol hydrochloride	400mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
8052	318041004	75560020	Torasemide 5mg tablets	Torasemide	5mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
8058	116145001000027104	63267020	Normetic Tablet (Abbott Laboratories Ltd)	Amiloride hydrochloride/Hydrochlorothiazide	5mg + 50mg	Tablet	Oral	02020100/02020400	Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
8061	141285001000027104	66693020	Sotalol 80mg with hydrochlorothiazide 12.5mg tablet	Sotalol Hydrochloride/Hydrochlorothiazide	80mg + 12.5mg	Tablets	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
8068	36035411000001104	64670020	Metoprolol 200mg modified-release tablets	Metoprolol tartrate	200mg	Modified-release tablet	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
8071	31811000001105	48396020	Betaloc 50mg tablets (AstraZeneca UK Ltd)	Metoprolol tartrate	50mg	Tablet	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
8077	152105001000027104	68062020	Hytrin 2mg Tablet (Abbott Laboratories Ltd)	Terazosin hydrochloride	2mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
8086	159565001000027104	69315020	Cardura 4mg Tablet (Pfizer Ltd)	Doxazosin mesilate	4mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
8102	4557711000001102	62138020	Furosemide 40mg / Potassium chloride 600mg (potassium 8mmol) modified-release tablets	Potassium chloride/Furosemide	600mg + 40mg	Modified-release tablet	Oral	02020800	Diuretics With Potassium	Diuretic
8113	318413005	59925020	Acebutolol 200mg capsules	Acebutolol hydrochloride	200mg	Capsule	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
8147	17805001000027108	50252020	Lopresoretic Tablet (Novartis Pharmaceuticals UK Ltd)	Metoprolol Tartrate/Chlortalidone		Tablet	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
8172	318412000	59924020	Acebutolol 100mg capsules	Acebutolol hydrochloride	100mg	Capsule	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
8189	878911000001106	51499020	Secadrex 200mg/12.5mg tablets (Sanofi)	Acebutolol hydrochloride/Hydrochlorothiazide	200mg + 12.5mg	Tablet	Oral	00000000	Unknown	B-blocker
8198	14555001000027108	49886020	Hypovase 5mg Tablet (Pfizer Ltd)	Prazosin hydrochloride	5mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
8262	318619000	68837020	Celiprolol 200mg tablets	Celiprolol hydrochloride	200mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
8290	54825001000027104	54885020	Trasicor 40mg Tablet (Novartis Pharmaceuticals UK Ltd)	Oxprenolol hydrochloride	40mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
8303	30925001000027100	51854020	Tenavoid Tablet (Edwin Burgess Ltd)	Meprobamate/Bendroflumethiazide		Tablet	Oral	02020100/04010200	Thiazides And Related Diuretics/Anxiolytics	Diuretic
8331	51875001000027112	54498020	Inderal 160mg Tablet (AstraZeneca UK Ltd)	Propranolol hydrochloride	160mg	Tablet	Oral	02030202/02040000	Supraventricular Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
8369	350811000001100	54259020	Inderex 160mg/5mg modified-release capsules (AstraZeneca UK Ltd)	Propranolol hydrochloride/Bendroflumethiazide	160mg + 5mg	Modified-release capsule	Oral	00000000	Unknown	B-blocker
8464	123835001000027104	64409020	Meprobamate with bendroflumethiazide Tablet	Meprobamate/Bendroflumethiazide		Tablet	Oral	02020100/04010200	Thiazides And Related Diuretics/Anxiolytics	Diuretic
8521	141505001000027104	66716020	Spironolactone 25mg with hydroflumethiazide 25mg tablet	Spironolactone/Hydroflumethiazide	25mg+25mg	Tablets	Oral	02020100/02020400	Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
